FilePath,#triples,Property,Aspect,Characteristic,Entity,Constraint,AbstractEntity,AbstractProperty,Collection,Trait,Set,Quantifiable,RangeConstraint,RegularExpressionConstraint,description,exampleValue,see,preferredName,unit,maxValue,minValue,upperBoundDefinition,lowerBoundDefinition,constraint,baseCharacteristic,value
io.catenax.electric_drive.electric_drive_passport/2.1.0/ElectricDrivePassport.ttl,36,1,1,1,1,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0
io.catenax.shared.bill_of_process/1.1.0/BillOfProcessSharedAspect.ttl,283,23,1,3,7,0,0,0,0,0,0,0,0,0,44,15,0,44,0,0,0,0,0,0,0,0
io.catenax.week_based_material_demand/2.1.0/WeekBasedMaterialDemand.ttl,222,12,1,7,3,0,0,0,0,4,1,0,1,3,34,9,1,34,0,1,1,1,1,5,4,0
io.catenax.single_level_bom_as_built/3.0.0/SingleLevelBomAsBuilt.ttl,78,7,1,1,1,0,0,0,0,1,1,0,0,1,13,5,0,13,0,0,0,0,0,1,1,0
io.catenax.shopfloor_information.get_production_tracking/1.2.0/GetProductionTracking.ttl,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
io.catenax.shared.shopfloor_information_types/2.1.0/ShopfloorInformationTypes.ttl,24,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,0,0,0,0,0,0,0,0
io.catenax.certificate_of_dismantler/1.2.1/CertificateOfDismantler.ttl,47,5,1,1,0,0,0,0,0,0,0,0,0,0,7,3,1,10,0,0,0,0,0,0,0,0
io.catenax.certificate_of_dismantler/1.1.1/CertificateOfDismantler.ttl,70,8,1,1,0,0,0,0,0,0,0,0,0,0,10,5,1,14,0,0,0,0,0,0,0,0
io.catenax.fleet.vehicles/2.5.0/Vehicles.ttl,31,2,1,1,1,0,0,0,0,0,0,0,0,0,5,1,0,5,0,0,0,0,0,0,0,0
io.catenax.request_for_quotation/3.0.0/RequestForQuotation.ttl,516,43,1,40,9,0,0,0,0,0,0,0,0,0,93,30,2,93,0,0,0,0,0,0,0,0
io.catenax.single_level_bom_as_planned/2.1.0/SingleLevelBomAsPlanned.ttl,28,1,1,1,0,0,0,0,0,1,0,0,0,1,5,1,2,5,0,0,0,0,0,1,1,0
io.catenax.shared.business_partner_number/1.0.0/BusinessPartnerNumber.ttl,69,3,1,3,0,0,0,0,0,3,0,0,0,3,13,3,3,13,0,0,0,0,0,3,3,0
io.catenax.refurbishing_certificate/2.0.0/RefurbishingCertificate.ttl,12,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
io.catenax.iot_sensor_data/2.2.0/IotSensorData.ttl,13,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0
io.catenax.request_for_quotation/2.2.0/RequestForQuotation.ttl,81,6,1,5,4,0,0,0,0,0,0,0,0,0,16,2,1,16,0,0,0,0,0,0,0,0
io.catenax.part_site_information_as_planned/1.2.0/PartSiteInformationAsPlanned.ttl,28,2,1,0,1,0,0,0,0,0,1,0,0,0,5,0,1,4,0,0,0,0,0,0,0,0
io.catenax.remanufacturing_certificate/3.2.0/RemanufacturingCertificate.ttl,12,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
io.catenax.transmission.transmission_pass/3.2.0/TransmissionPass.ttl,96,6,1,1,2,0,0,0,0,2,0,1,0,2,18,4,0,18,1,0,0,0,0,2,2,0
io.catenax.waste/2.2.0/Waste.ttl,58,5,1,3,2,0,0,0,0,0,0,0,0,0,11,3,0,10,0,0,0,0,0,0,0,0
io.catenax.material_demand/1.2.0/MaterialDemand.ttl,65,6,1,1,1,0,0,0,0,0,1,0,0,0,10,5,0,10,0,0,0,0,0,0,0,0
io.catenax.shared.recycling_strategy_certificate/3.2.0/RecyclingStrategyCertificate.ttl,52,5,1,1,1,0,0,0,0,0,0,0,0,0,8,4,0,8,0,0,0,0,0,0,0,0
io.catenax.batch/2.2.1/Batch.ttl,82,4,1,3,2,0,0,0,0,1,0,0,0,1,13,2,2,13,0,0,0,0,0,1,1,0
