FilePath,#triples,Property,Aspect,Characteristic,Entity,Constraint,AbstractEntity,AbstractProperty,Collection,Trait,Set,Quantifiable,RangeConstraint,RegularExpressionConstraint,description,exampleValue,see,preferredName,unit,maxValue,minValue,upperBoundDefinition,lowerBoundDefinition,constraint,baseCharacteristic,value,DIVERSITY
io.catenax.quality_task_attachment/1.0.0/QualityTaskAttachment.ttl,169,16,1,1,3,0,0,0,0,0,0,0,0,0,25,12,1,25,1,0,0,0,0,0,0,0,9
io.catenax.reuse_certificate/3.0.0/ReuseCertificate.ttl,18,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,4
io.catenax.item_stock/2.0.0/ItemStock.ttl,148,13,1,4,3,0,0,0,0,0,2,1,0,0,25,9,2,25,0,0,0,0,0,0,0,0,10
io.catenax.shared.address_characteristic/3.0.0/AddressAspect.ttl,315,19,1,2,7,0,0,0,0,2,0,0,0,2,42,10,0,42,0,0,0,0,0,2,2,0,11
io.catenax.request_for_quotation/2.0.0/RequestForQuotation.ttl,527,46,1,43,10,0,0,0,0,0,0,0,0,0,100,32,1,100,0,0,0,0,0,0,0,0,8
io.catenax.shared.secondary_material_content/1.0.0/SecondaryMaterialContent.ttl,416,29,1,15,15,0,0,0,0,2,2,3,1,1,70,12,4,70,1,1,1,1,1,2,2,0,20
io.catenax.parts_analyses/3.0.0/PartsAnalyses.ttl,249,22,1,3,3,0,0,0,0,0,0,0,0,0,33,19,0,33,0,0,0,0,0,0,0,0,7
io.catenax.shopfloor_information.get_production_tracking/1.0.0/GetProductionTracking.ttl,188,16,1,2,3,0,0,0,0,0,0,0,0,0,27,11,0,27,0,0,0,0,0,0,0,0,7
io.catenax.short_term_material_demand/1.0.0/ShortTermMaterialDemand.ttl,161,11,1,2,3,0,0,0,0,0,1,0,0,0,21,7,1,21,0,0,0,0,0,0,0,0,9
io.catenax.parts_analyses/2.0.0/PartsAnalyses.ttl,179,16,1,3,2,0,0,0,0,1,0,0,0,1,28,14,1,28,0,0,0,0,0,1,1,0,12
io.catenax.iot_sensor_device_definition/2.0.0/IotSensorDeviceDefinition.ttl,55,5,1,3,0,0,0,0,0,0,0,0,0,0,9,5,2,9,0,0,0,0,0,0,0,0,7
io.catenax.packing_list/1.0.0/PackingList.ttl,114,9,1,5,4,0,0,0,0,0,1,0,0,0,20,4,0,20,0,0,0,0,0,0,0,0,8
io.catenax.material_demand/1.0.0/MaterialDemand.ttl,301,22,1,7,4,0,0,0,0,1,1,0,1,0,41,17,2,41,0,1,1,1,1,2,1,0,17
io.catenax.material_flow_scenario_request/1.0.0/MaterialFlowScenarioRequestAspect.ttl,221,22,1,6,4,0,0,0,0,0,0,0,0,0,34,16,0,34,0,0,0,0,0,0,0,0,7
io.catenax.shared.address_characteristic/4.0.0/AddressAspect.ttl,315,19,1,2,7,0,0,0,0,2,0,0,0,2,42,10,0,42,0,0,0,0,0,2,2,0,11
io.catenax.remanufacturing_certificate/2.0.0/RemanufacturingCertificate.ttl,12,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,4
io.catenax.transmission.transmission_pass/2.0.0/TransmissionPass.ttl,398,31,1,8,10,0,0,0,0,2,1,2,0,2,67,20,0,67,8,0,0,0,0,2,2,0,14
io.catenax.single_level_bom_as_planned/3.0.0/SingleLevelBomAsPlanned.ttl,105,9,1,2,2,0,0,0,0,1,1,0,0,1,17,6,0,17,0,0,0,0,0,1,1,0,12
io.catenax.shared.part_classification/1.0.0/PartClassification.ttl,51,4,1,2,1,0,0,0,0,0,0,0,0,0,9,3,0,9,0,0,0,0,0,0,0,0,7
io.catenax.secondary_material_content_verifiable/1.0.0/SecondaryMaterialContentVerifiable.ttl,10,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3
io.catenax.shopfloor_information.provide_production_tracking/1.0.0/ProvideProductionTracking.ttl,133,10,1,2,3,0,0,0,0,0,0,0,0,0,20,7,0,20,0,0,0,0,0,0,0,0,7
io.catenax.shopfloor_information.get_production_forecast/2.0.0/GetProductionForecast.ttl,79,8,1,1,1,0,0,0,0,0,0,0,0,0,11,3,0,11,0,0,0,0,0,0,0,0,7
io.catenax.single_level_bom_as_specified/2.0.0/SingleLevelBomAsSpecified.ttl,228,18,1,2,4,0,0,0,0,1,3,0,0,1,30,14,0,30,0,0,0,0,0,1,1,0,12
io.catenax.essincident/3.0.0/EssIncident.ttl,435,37,1,2,1,0,0,0,0,3,0,0,0,3,52,33,1,52,0,0,0,0,0,3,3,0,12
io.catenax.material_recycling_certificate/1.0.0/MaterialRecyclingCertificate.ttl,12,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,4
io.catenax.request_for_quotation/1.0.0/RequestForQuotation.ttl,618,55,1,44,13,0,0,0,0,0,1,1,0,0,115,40,1,112,0,0,0,0,0,0,0,0,10
io.catenax.shared.recycling_strategy_certificate/2.0.0/RecyclingStrategyCertificate.ttl,68,8,1,1,1,0,0,0,0,0,0,0,0,0,10,7,0,11,0,0,0,0,0,0,0,0,7
io.catenax.battery.product_description/1.0.1/ProductDescription.ttl,136,12,1,2,3,0,0,0,0,0,1,0,0,0,24,0,0,24,2,0,0,0,0,0,0,0,8
io.catenax.waste_certificate/1.0.0/WasteCertificate.ttl,12,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,4
io.catenax.fleet.vehicles/2.0.0/Vehicles.ttl,530,42,1,3,4,0,0,0,0,2,0,0,0,1,62,37,7,62,2,1,1,0,0,2,2,0,15
io.catenax.shared.message_header/2.0.0/MessageHeaderAspect.ttl,98,9,1,3,1,0,0,0,0,1,0,0,0,1,16,8,1,16,0,0,0,0,0,1,1,0,12
io.catenax.week_based_material_demand/3.0.0/WeekBasedMaterialDemand.ttl,262,20,1,5,3,0,0,0,0,1,1,0,1,0,36,17,2,36,0,1,1,1,1,2,1,0,17
io.catenax.planned_production_output/1.0.0/PlannedProductionOutput.ttl,147,13,1,5,3,0,0,0,2,0,0,1,0,0,25,9,2,25,0,0,0,0,0,0,0,0,10
io.catenax.demand_and_capacity_notification/1.0.0/DemandAndCapacityNotification.ttl,181,13,1,1,0,0,0,0,0,1,3,0,0,0,23,13,2,23,0,1,0,0,0,1,1,0,12
io.catenax.shared.shopfloor_information_types/1.0.0/ShopfloorInformationTypes.ttl,81,5,1,2,1,0,0,0,0,0,0,0,0,0,11,3,0,11,0,0,0,0,0,0,0,0,7
io.catenax.battery.battery_pass/4.0.0/BatteryPass.ttl,1496,118,1,39,40,0,0,0,0,1,0,0,0,1,219,34,4,216,8,0,0,0,0,1,1,0,13
io.catenax.fleet.vehicles/2.1.0/Vehicles.ttl,530,42,1,3,4,0,0,0,0,2,0,0,0,1,62,37,7,62,2,1,1,0,0,2,2,0,15
io.catenax.generic.digital_product_passport/3.0.0/DigitalProductPassport.ttl,1526,109,1,26,34,0,0,0,0,4,0,3,0,3,223,60,22,222,1,1,0,0,0,4,4,0,15
io.catenax.batch/3.0.0/Batch.ttl,159,10,1,8,3,0,0,0,0,3,1,0,0,3,29,7,1,29,0,0,0,0,0,3,3,0,13
io.catenax.iot_sensor_data/2.0.0/IotSensorData.ttl,152,14,1,6,3,0,0,0,0,0,0,0,0,0,26,11,3,27,1,0,0,0,0,0,0,0,9
io.catenax.week_based_material_demand/2.0.0/WeekBasedMaterialDemand.ttl,342,17,1,8,3,0,0,0,0,4,1,0,1,3,42,14,3,42,0,1,1,1,1,5,4,0,18
io.catenax.part_site_information_as_planned/1.0.0/PartSiteInformationAsPlanned.ttl,81,6,1,2,1,0,0,0,0,1,1,0,0,1,13,3,2,13,0,0,0,0,0,1,1,0,13
io.catenax.generic.digital_product_passport/5.0.0/DigitalProductPassport.ttl,1481,112,1,23,34,0,0,0,0,5,0,2,2,2,207,61,19,207,1,2,2,2,2,5,5,0,19
